portfolioId,Ticker,Name,NAV,ChangePercent,ChangePercentYTD,Ccy,1Y,Incept
228242, ,BGF Euro Corporate Bond Fund,13.28,-0.23,0.37,EUR,5.07,58.32
229601,-,BGF Euro Corporate Bond Fund,16.15,-0.25,0.37,EUR,5.05,50.93
284350,-,BGF Euro Corporate Bond Fund,9.9,-0.3,0.3,CHF,-,-0.6
284345,-,BGF Euro Corporate Bond Fund,9.98,-0.2,0.5,GBP,-,0.2
284344,-,BGF Euro Corporate Bond Fund,10.03,-0.2,0.6,USD,-,0.6
229134,-,BGF Euro Corporate Bond Fund,13.04,-0.23,0.37,EUR,5.08,60.8
229135,-,BGF Euro Corporate Bond Fund,16.71,-0.24,0.42,EUR,5.46,58.49
284349,-,BGF Euro Corporate Bond Fund,9.93,-0.2,0.4,CHF,-,-0.3
284347,-,BGF Euro Corporate Bond Fund,10.01,-0.2,0.5,GBP,-,0.4
284346,-,BGF Euro Corporate Bond Fund,10.06,-0.2,0.7,USD,-,0.9
241479,-,BGF Euro Corporate Bond Fund,13.04,-0.23,0.43,EUR,5.41,21.63
229607,-,BGF Euro Reserve Fund,73.61,0,-0.07,EUR,-0.35,0.34
229610,-,BGF Euro Reserve Fund,74.11,0,-0.07,EUR,-0.34,0.95
228429, ,BGF Euro Short Duration Bond Fund,12.26,0,0.02,EUR,0.95,54.92
228419, ,BGF Euro Short Duration Bond Fund,15.94,0,-0.06,EUR,0.89,59.78
228427, ,BGF Euro Short Duration Bond Fund,10.9,0,-0.18,CHF,0.28,8.9
228425, ,BGF Euro Short Duration Bond Fund,11.65,0,0.17,USD,2.19,16.4
228435, ,BGF Euro Short Duration Bond Fund,12.28,0.08,0.02,EUR,0.95,36.03
228422, ,BGF Euro Short Duration Bond Fund,14.97,0,-0.07,EUR,0.86,13.64
228423, ,BGF Euro Short Duration Bond Fund,10.93,0,0.09,GBP,1.77,18.05
228426, ,BGF Euro Short Duration Bond Fund,10.94,0,0.18,USD,2.24,15.48
